description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.68
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.21
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,1.10
BHP GROUP LTD,ZAR,EASYBF,2.65
BOXER RETAIL LTD,ZAR,EASYBF,1.27
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.46
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,17.9
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,18.9
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.23
New Gold Issuer Ltd,ZAR,EASYBF,4.74
Glencore Xstrata Plc,ZAR,EASYBF,1.62
Grindrod Ltd,ZAR,EASYBF,2.23
Lewis Group Ltd,ZAR,EASYBF,1.11
MTN Group Ltd,ZAR,EASYBF,1.47
Ninety One Plc,ZAR,EASYBF,0.61
Naspers Ltd - N Shares,ZAR,EASYBF,1.49
NINETY ONE LTD,ZAR,EASYBF,0.71
Pan African Resource,ZAR,EASYBF,2.85
Purple Group Ltd,ZAR,EASYBF,0.65
Resilient Property Income Fund Ltd,ZAR,EASYBF,2.19
Shoprite Holdings Ltd,ZAR,EASYBF,0.57
SOUTHERN SUN LTD,ZAR,EASYBF,0.43
Satrix SA Bond Portfolio,ZAR,EASYBF,13.5
SATRIX GOVI ETF,ZAR,EASYBF,0.76
SATRIX NAS 100,ZAR,EASYBF,4.90
Vukile Property Fund Ltd,ZAR,EASYBF,2.27
INAV - ZAR.CASH,ZAR,EASYBF,5.17
