description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.64
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.23
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,1.02
BHP GROUP LTD,ZAR,EASYBF,2.58
BOXER RETAIL LTD,ZAR,EASYBF,1.24
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.34
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,18.9
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,19.9
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.08
New Gold Issuer Ltd,ZAR,EASYBF,4.66
Glencore Xstrata Plc,ZAR,EASYBF,1.58
Grindrod Ltd,ZAR,EASYBF,2.17
Lewis Group Ltd,ZAR,EASYBF,1.10
MTN Group Ltd,ZAR,EASYBF,1.45
Ninety One Plc,ZAR,EASYBF,0.60
Naspers Ltd - N Shares,ZAR,EASYBF,1.37
NINETY ONE LTD,ZAR,EASYBF,0.69
Pan African Resource,ZAR,EASYBF,2.83
Purple Group Ltd,ZAR,EASYBF,0.63
Resilient Property Income Fund Ltd,ZAR,EASYBF,2.07
Shoprite Holdings Ltd,ZAR,EASYBF,0.54
SOUTHERN SUN LTD,ZAR,EASYBF,0.40
Satrix SA Bond Portfolio,ZAR,EASYBF,13.1
SATRIX GOVI ETF,ZAR,EASYBF,0.74
SATRIX NAS 100,ZAR,EASYBF,4.82
Vukile Property Fund Ltd,ZAR,EASYBF,2.15
INAV - ZAR.CASH,ZAR,EASYBF,5.00
